Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,39.83,42.11,47.06,49.25,45.81,45.47,44.79,41.2,42.02,44.13
The Nordic countries,37.77,32.98,29.49,29.24,30.79,33.77,38.75,30.72,29.34,26.66
Switzerland,49.7,53.29,57.03,56.65,59.87,52.59,50.51,54.23,54.48,53.9
SouthKorea,33.27,34.63,34.85,34.59,35.02,34.7,34.89,35.13,35.87,35.12
