Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
冰岛,2.23,2.2,2.02,2.04,1.93,1.93,1.8,1.74,1.74
世界水平,1.72,1.71,1.69,1.69,1.66,1.67,1.67,1.66,1.63
欧洲联盟,1.6,1.61,1.58,1.58,1.55,1.57,1.57,1.59,1.58
瑞士,1.85,1.85,1.85,1.86,1.87,1.87,1.88,1.88,1.88
